local_id,local_created_at,local_start_estimated,upstream_created_at,model,input_tokens,output_tokens,cache_read_tokens,total_cost,local_duration_s,upstream_duration_s,extra_wait_s,local_first_token_s,local_request_id,upstream_request_id
7645,2026-05-27 11:09:51,2026-05-27 11:02:53,2026-05-27T11:09:15.515714+08:00,gpt-5.5,99953,3259,11136,0.603103,417.912,76.439,341.473,323.264,e85cce5bdded32e444ea8ac9253ad6c5,generated:r3pkyd4wg4kq0b-clz
7644,2026-05-27 11:09:51,2026-05-27 11:08:55,2026-05-27T11:09:37.80244+08:00,gpt-5.5,18531,291,3456,0.103113,56.193,6.608,49.585,39.750,728b8ae0b2d92665ab50c526a3dad914,generated:rj3umsm076ee8-hfo
7643,2026-05-27 11:09:51,2026-05-27 11:08:55,2026-05-27T11:09:39.643775+08:00,gpt-5.5,11788,854,14720,0.091920,56.199,16.525,39.674,39.752,d77c65e7d0a6e8669cbd13cc80af643b,generated:r3pkyd4wg4kq0b-cmx
7642,2026-05-27 11:09:41,2026-05-27 11:08:51,2026-05-27T11:09:35.152933+08:00,gpt-5.5,6347,524,78720,0.086815,50.043,11.909,38.134,43.608,0116e63216beb5020006b77921db821c,generated:r3pkyd4wg4kq0b-cmo
7640,2026-05-27 11:09:36,2026-05-27 11:08:18,2026-05-27T11:09:12.058126+08:00,gpt-5.5,347,254,19840,0.019275,77.757,6.584,71.173,76.696,b02c9066f5418a676f89554e887a1a56,generated:r8d65n4b6cjlh-aq0
7641,2026-05-27 11:09:36,2026-05-27 11:08:28,2026-05-27T11:09:17.809633+08:00,gpt-5.5,1679,41,21376,0.020313,67.651,2.401,65.25,66.589,1b2301a8f6f640c0b72167ad5be8fbf1,generated:rj3umsm076ee8-het
7636,2026-05-27 11:09:35,2026-05-27 11:07:54,2026-05-27T11:09:17.53031+08:00,gpt-5.5,697,1131,108416,0.091623,101.225,23.78,77.445,65.626,1e2d164e14c4039c3273cabd360982c8,generated:r3pkyd4wg4kq0b-cm2
7639,2026-05-27 11:09:35,2026-05-27 11:07:17,2026-05-27T11:09:18.978325+08:00,gpt-5.5,1853,939,128384,0.101627,137.392,20.733,116.659,104.418,6b101abc82385fc9b112729c8667ca07,generated:r3pkyd4wg4kq0b-cm3
7637,2026-05-27 11:09:35,2026-05-27 11:08:01,2026-05-27T11:09:17.682635+08:00,gpt-5.5,195,920,48512,0.052831,93.985,22.298,71.687,59.507,f82a53e125a84bd2ba93cdb4e9fd903d,generated:r2jehey8lhlzma-aff
7635,2026-05-27 11:09:35,2026-05-27 11:08:17,2026-05-27T11:09:12.456362+08:00,gpt-5.5,1543,305,16256,0.024993,77.911,7.156,70.755,77.911,92b8b8e8fa89d67122beb45b010a1d0f,generated:rj3umsm076ee8-hee
